t_sec,backend,emotion,age,gender
16.7,opencv,happy,31,Man
19.4,opencv,neutral,29,Man
21.9,opencv,fear,32,Woman
22.4,opencv,neutral,35,Woman
23.8,opencv,sad,30,Woman
27.2,opencv,neutral,33,Woman
28.0,opencv,fear,31,Woman
28.0,opencv,neutral,31,Woman
28.1,opencv,fear,31,Woman
28.1,opencv,neutral,31,Woman
28.1,opencv,fear,31,Woman
28.1,opencv,neutral,31,Woman
28.1,opencv,fear,31,Woman
28.1,opencv,neutral,31,Woman
28.2,opencv,fear,31,Woman
28.2,opencv,neutral,31,Woman
28.2,opencv,fear,31,Woman
28.2,opencv,neutral,31,Woman
28.3,opencv,fear,31,Woman
28.3,opencv,neutral,31,Woman
28.3,opencv,fear,31,Woman
28.3,opencv,neutral,31,Woman
28.3,opencv,fear,31,Woman
28.3,opencv,neutral,31,Woman
28.3,opencv,fear,31,Woman
28.3,opencv,neutral,31,Woman
28.4,opencv,fear,31,Woman
28.4,opencv,neutral,31,Woman
28.4,opencv,fear,31,Woman
28.4,opencv,neutral,31,Woman
28.4,opencv,fear,31,Woman
28.4,opencv,neutral,31,Woman
28.5,opencv,fear,31,Woman
28.5,opencv,neutral,31,Woman
30.4,opencv,sad,30,Man
30.9,opencv,neutral,35,Woman
31.4,opencv,fear,34,Woman
32.8,opencv,neutral,29,Woman
36.5,opencv,sad,31,Man
37.5,opencv,neutral,30,Man
41.5,opencv,fear,29,Man
42.0,opencv,neutral,34,Man
42.9,opencv,angry,28,Man
43.8,opencv,sad,29,Man
46.1,opencv,happy,25,Man
47.0,opencv,neutral,29,Man
485.9,opencv,angry,26,Man
486.3,opencv,neutral,24,Woman
